Step 0, size of queue 4
Step 1, size of queue 7
Step 2, size of queue 14
Step 3, size of queue 22
Step 4, size of queue 33
Step 5, size of queue 43
Step 6, size of queue 57
Step 7, size of queue 69
Step 8, size of queue 87
Step 9, size of queue 104
Step 10, size of queue 125
Step 11, size of queue 146
Step 12, size of queue 170
Step 13, size of queue 191
Step 14, size of queue 223
Step 15, size of queue 248
Step 16, size of queue 277
Step 17, size of queue 304
Step 18, size of queue 346
Step 19, size of queue 378
Step 20, size of queue 417
Step 21, size of queue 458
Step 22, size of queue 494
Step 23, size of queue 531
Step 24, size of queue 573
Step 25, size of queue 621
Step 26, size of queue 663
Step 27, size of queue 721
Step 28, size of queue 764
Step 29, size of queue 824
Step 30, size of queue 870
Step 31, size of queue 941
Step 32, size of queue 985
Step 33, size of queue 1065
Step 34, size of queue 1101
Step 35, size of queue 1190
Step 36, size of queue 1232
Step 37, size of queue 1321
Step 38, size of queue 1366
Step 39, size of queue 1460
Step 40, size of queue 1502
Step 41, size of queue 1596
Step 42, size of queue 1648
Step 43, size of queue 1734
Step 44, size of queue 1801
Step 45, size of queue 1889
Step 46, size of queue 1953
Step 47, size of queue 2048
Step 48, size of queue 2117
Step 49, size of queue 2214
Step 50, size of queue 2285
Step 51, size of queue 2391
Step 52, size of queue 2461
Step 53, size of queue 2581
Step 54, size of queue 2649
Step 55, size of queue 2762
Step 56, size of queue 2833
Step 57, size of queue 2947
Step 58, size of queue 3036
Step 59, size of queue 3155
Step 60, size of queue 3234
Step 61, size of queue 3401
Step 62, size of queue 3489
Step 63, size of queue 3666
Step 64, size of queue 3752
Step 65, size of queue 3930
Step 66, size of queue 4020
Step 67, size of queue 4202
Step 68, size of queue 4258
Step 69, size of queue 4444
Step 70, size of queue 4504
Step 71, size of queue 4696
Step 72, size of queue 4764
Step 73, size of queue 4958
Step 74, size of queue 5022
Step 75, size of queue 5210
Step 76, size of queue 5276
Step 77, size of queue 5478
Step 78, size of queue 5546
Step 79, size of queue 5758
Step 80, size of queue 5834
Step 81, size of queue 6052
Step 82, size of queue 6136
Step 83, size of queue 6332
Step 84, size of queue 6415
Step 85, size of queue 6627
Step 86, size of queue 6724
Step 87, size of queue 6940
Step 88, size of queue 7040
Step 89, size of queue 7261
Step 90, size of queue 7352
Step 91, size of queue 7569
Step 92, size of queue 7668
Step 93, size of queue 7906
Step 94, size of queue 8013
Step 95, size of queue 8234
Step 96, size of queue 8348
Step 97, size of queue 8566
Step 98, size of queue 8691
Step 99, size of queue 8909
Step 100, size of queue 9037
Step 101, size of queue 9265
Step 102, size of queue 9386
Step 103, size of queue 9630
Step 104, size of queue 9762
Step 105, size of queue 9992
Step 106, size of queue 10126
Step 107, size of queue 10360
Step 108, size of queue 10493
Step 109, size of queue 10741
Step 110, size of queue 10878
Step 111, size of queue 11112
Step 112, size of queue 11262
Step 113, size of queue 11489
Step 114, size of queue 11651
Step 115, size of queue 11901
Step 116, size of queue 12062
Step 117, size of queue 12308
Step 118, size of queue 12482
Step 119, size of queue 12721
Step 120, size of queue 12905
Step 121, size of queue 13141
Step 122, size of queue 13317
Step 123, size of queue 13554
Step 124, size of queue 13745
Step 125, size of queue 13993
Step 126, size of queue 14200
Step 127, size of queue 14421
Step 128, size of queue 14644
Step 129, size of queue 14865
Step 130, size of queue 15093
Step 131, size of queue 15324
Step 132, size of queue 15553
Step 133, size of queue 15779
Step 134, size of queue 16038
Step 135, size of queue 16259
Step 136, size of queue 16517
Step 137, size of queue 16723
Step 138, size of queue 16976
Step 139, size of queue 17207
Step 140, size of queue 17481
Step 141, size of queue 17688
Step 142, size of queue 17964
Step 143, size of queue 18172
Step 144, size of queue 18461
